;Barcode;Title;Year;Location
 369.11 É;TM010583;18 gulden regels voor seniorenmarketing, ofwel: Hoe munt te slaan uit de zilveren stroom;1997;Bibliotheek AMFI
369.11;HV114486;The conversation company;2012;Bibliotheek AMFI
369.13;HV050746;Das Kundenbuch;1997;Bibliotheek AMFI
369.13;TM041563;Wer kauft wo, warum;1990;Bibliotheek AMFI
369.13;HV023529;The Dutch dandy;2003;Bibliotheek AMFI
369.13;HV019600;Leefstijlen;2002;Bibliotheek AMFI
369.13;HV114569;Dutch identity in fashion: co-evolution between brands and consumers;2013;Bibliotheek AMFI
369.13;FM003384;De impact van de IK-cultuur;2002;Bibliotheek AMFI
369.13;TM024601;Fashion forecasting;1987;Bibliotheek AMFI
369.13;FM007156;De emotiemarkt;2003;Bibliotheek AMFI
369.13;HV057322;De beleveniseconomie;2000;Bibliotheek AMFI
369.13;HV005117;Trends van overmorgen;1992;Bibliotheek AMFI
369.13;TM024412;Rapport pubers;1999;Bibliotheek AMFI
369.13;HV100604;The trend forecaster's handbook;2010;Bibliotheek AMFI
369.13;HV053798;Zien;2005;Bibliotheek AMFI
369.13;FM003013;Going shopping;2001;Bibliotheek AMFI
369.13;HV004897;Consumer behavior;2004;Bibliotheek AMFI
369.13;HV068471;Consumer behavior in fashion;2009;Bibliotheek AMFI
369.13;HV062479;Anatomy of a trend;2008;Bibliotheek AMFI
369.13;HV092235;Branding with brains;2010;Bibliotheek AMFI
369.13;HV001099;Kun je wel jezelf z?n in een damesmodewinkel?;2004;Bibliotheek AMFI
369.13;HV046023;Point of purchase;2004;Bibliotheek AMFI
369.14;TM042733;Strategic industrial marketing;1989;Bibliotheek AMFI
369.15;FM002578;Events im Textileinzelhandel;2001;Bibliotheek AMFI
369.15;HV014055;Retail branding;2003;Bibliotheek AMFI
369.2;TM010960;Kalkulation und Preispolitik im Textil-Einzelhandel;1997;Bibliotheek AMFI
369.2;TM000393;Demodebrache in de uitverkoop;1994;Bibliotheek AMFI
369.3;HV037866;The real world guide to fashion selling and management;2007;Bibliotheek AMFI
369.4;HV088735;Brand design;2007;Bibliotheek AMFI
369.4;HV111162;Brand design;2011;Bibliotheek AMFI
369.4;HV021892;The advertising handbook;2002;Bibliotheek AMFI
369.4;HV114546;Couture graphique;2013;Bibliotheek AMFI
369.4;HV130663;Luxury fashion;2013;Bibliotheek AMFI
369.4;HV075288;More than a name;2005;Bibliotheek AMFI
369.4;HV093795;The fundamentals of branding;2009;Bibliotheek AMFI
369.4;HV145992;Effie awards;2014;Bibliotheek AMFI
369.4;TM046847;Van mens tot marionet;1978;Bibliotheek AMFI
369.4;TM024675;De mentale wereld van merken;1999;Bibliotheek AMFI
369.4;TM041276;Advertising in America;1990;Bibliotheek AMFI
369.4;HV004900;Mind the gap;2004;Bibliotheek AMFI
369.4;HV062582;What is branding?;2008;Bibliotheek AMFI
369.4;TM014366;Identiteit, vormgeving, communicatie;2001;Bibliotheek AMFI
369.4;HV036072;Designmanagement;2006;Bibliotheek AMFI
369.4;HV114560;Fashion marketing communications;2013;Bibliotheek AMFI
369.4;FM002763;Airline;2000;Bibliotheek AMFI
369.4;HV037519;UnKnown-2060873;;Bibliotheek AMFI
369.4;HV101571;The visual brand identity of Yves Saint Laurent;2011;Bibliotheek AMFI
 369.4 Ö;HV113656;Mötet med rummet;2010;Bibliotheek AMFI
369.4;TM042732;The Wolff Olins guide to corporate identity;1990;Bibliotheek AMFI
369.4;HV114543;Wally Olins: the brand handbook;2008;Bibliotheek AMFI
369.4;TM024095;The new guide to identity Wolff Olins;1995;Bibliotheek AMFI
369.4;TM010985;Fashion sales promotion;1996;Bibliotheek AMFI
 369.4 Ë;HV097797;Moodmanagement;2010;Bibliotheek AMFI
369.4;HV068489;Diesel;1998;Bibliotheek AMFI
369.4;TM010062;En toen ging er een lampje branden...;1991;Bibliotheek AMFI
369.4;HV062767;Brands and narratives;2007;Bibliotheek AMFI
369.4;HV002592;Principles of corporate communication;1995;Bibliotheek AMFI
369.4;HV107721;New customer journey;2014;Bibliotheek AMFI
369.4;HV113143;Diesel;2008;Bibliotheek AMFI
369.4;HV011556;Marketing communications;2005;Bibliotheek AMFI
369.4;HV021923;United Colors;2002;Bibliotheek AMFI
369.4;FM002336;Corporate image and identity strategies;1997;Bibliotheek AMFI
369.4;HV013456;Superbrands Nederland;2003;Bibliotheek AMFI
369.4;HV100584;Uncorporate identity;2010;Bibliotheek AMFI
369.4;TM047956;Eene wandeling door den B?enkorf;1995;Bibliotheek AMFI
369.6;FM002986;Sehnsüchte;2001;Bibliotheek AMFI
369.6;TM011358;B?zondere Nederlandse winkelinterieurs;1995;Bibliotheek AMFI
369.6;TM010967;Szenerien;1997;Bibliotheek AMFI
369.6;FM000005;Silent selling;2002;Bibliotheek AMFI
369.6;TM010188;Ruimtelijke presentatie voor het mbo;1991;Bibliotheek AMFI
369.6;TM000113;Visual merchandising;1994;Bibliotheek AMFI
369.6;TM009040;Visual merchandising;1994;Bibliotheek AMFI
369.6;HV020016;Net mode;2002;Bibliotheek AMFI
